timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777848231.7423,39,40,42,38,39,40,40,41,42,39,40,40
1777848231.9426,39,40,42,38,39,40,40,41,42,39,40,40
1777848232.1429,39,41,42,38,39,40,40,41,42,39,40,40
1777848232.3432,39,41,42,38,39,40,40,41,42,39,40,40
1777848232.5434,39,40,42,38,39,40,40,41,42,39,40,40
1777848232.7439,39,41,42,38,39,40,39,41,42,39,40,40
1777848232.9442,39,41,42,38,39,40,40,41,42,39,40,40
1777848233.1448,39,41,42,38,39,40,40,41,42,39,40,40
1777848233.3465,39,41,42,38,39,40,40,41,42,39,40,40
1777848233.5470,39,41,42,38,39,40,40,41,42,39,40,40
1777848233.7477,39,41,42,38,39,40,40,41,42,39,40,40
1777848233.9486,39,41,42,38,39,40,40,41,42,39,40,40
1777848234.1488,39,41,42,38,39,40,40,41,42,39,40,40
1777848234.3491,39,41,42,38,39,40,40,41,42,39,40,40
1777848234.5494,39,41,42,38,39,40,40,41,42,39,40,40
1777848234.7496,39,41,42,38,39,40,40,41,42,39,40,40
1777848234.9499,39,41,42,38,39,40,40,41,42,39,40,40
1777848235.1502,39,41,42,38,39,40,40,41,42,39,40,40
1777848235.3507,39,41,42,38,39,40,40,41,42,39,40,40
1777848235.5520,39,41,42,38,39,40,40,41,42,39,40,40
1777848235.7524,39,41,42,38,39,40,40,41,42,39,40,40
1777848235.9529,39,41,42,38,39,40,40,41,42,39,40,40
1777848236.1532,39,41,42,38,39,40,40,41,42,39,40,40
1777848236.3538,39,41,42,38,39,40,40,41,42,39,40,40
1777848236.5542,39,41,42,38,39,40,40,41,42,39,40,40
1777848236.7544,39,41,42,38,39,40,40,41,42,39,40,40
1777848236.9550,39,41,42,38,39,40,40,41,42,39,40,40
1777848237.1553,39,41,42,38,39,40,40,41,42,39,40,40
1777848237.3557,39,41,42,38,39,40,40,41,42,39,40,40
